title,price,image
"
                                Немско колело Telefunken с динамо
            ",900 ,https:////cdn1.focus.bg/bazar/3a/fp/3a0cf2efb71ee0068f8b19cfa8d26f3c.jpg
"
                                Колело pegasus avanti 28
            ",390 ,https:////cdn5.focus.bg/bazar/17/fp/17c3297fef79d0ce968b5ae7873f4af0.jpg
"
                                Колело 
            ",1 000 ,https:////cdn5.focus.bg/bazar/97/fp/9726d6890c58f0be5c07e29cf4f0c74d.jpg
"
                                Българско детско колело с помощни колелца на фирма DRAG, само лично предаване
            ",50 ,https:////cdn5.focus.bg/bazar/ae/fp/ae23b8afd446056d95db32105cf910d9.jpg
"
                                Дамски велосипед 28 цола + кошница 
            ",120 ,https:////cdn5.focus.bg/bazar/3f/fp/3fa65429a76e828b41ae5811afffbc54.jpg
"
                                Колело 
            ",1 000 ,https:////cdn5.focus.bg/bazar/97/fp/9726d6890c58f0be5c07e29cf4f0c74d.jpg
"
                                Велосипед с 24 инчови гуми. Само лично предаване.
            ",85 ,https:////cdn5.focus.bg/bazar/65/fp/65a502f65aee53c92befa70b3fca0baf.jpg
"
                                Avenue spirit 1000
            ",1 300 ,https:////cdn1.focus.bg/bazar/10/fp/106de41fa4f6c84eaa01448a0a5abbf1.jpg
"
                                велосипед 26 цола CONWAY-една година гаранция
            ",155 ,https:////cdn1.focus.bg/bazar/d2/fp/d2c10a8fca2b11b86fdffcc0b316cf6c.jpg
"
                                 Велосипед 26 цола
            ",250 ,https:////cdn1.focus.bg/bazar/61/fp/61c5ca62cd6a1d83f1eb01b82fedad4a.jpg
"
                                ГРАДСКИ ВЕЛОСИПЕД SHIMANO BIKE 28-ЦОЛА
            ",150 ,https:////cdn5.focus.bg/bazar/d5/fp/d5800a602d4e2aa2f0e41acd0b9dac3a.jpg
"
                                Ел. колело, електрическо колело, електро колело
            ",1 450 ,https:////cdn5.focus.bg/bazar//42/fp/4205ae8e47ce0f1e05d60ddbfc015098.jpg
"
                                ""Марлин"" алуминий,26""на2.10 оборудвано,реновирано
            ",180 ,https:////cdn1.focus.bg/bazar/dc/fp/dc9efe684e58eb88f293564d62b3d7c0.jpg
"
                                Продавам алуминиев велосипед 26""
            ",300 ,https:////cdn1.focus.bg/bazar/15/fp/151329c21953a1b5229d546b1f38510b.jpg
"
                                велосипед градски
            ",210 ,https:////cdn5.focus.bg/bazar/9d/fp/9dedc9c9f80b2b2c3f62ff1857ff3540.jpg
"
                                Продавам немски велосипед
            ",190 ,https:////cdn1.focus.bg/bazar/c9/fp/c9b5f5068212ff6c11cafc8d8c84f2f1.jpg
"
                                Градски велосипед
            ",600 ,https:////cdn1.focus.bg/bazar/8b/fp/8b79fac85cd3abde9b9057ed733d6c0d.jpg
