nid,visits,tags
3245,1784,1
133494,1783,5
112312,1781,1
21816,1781,11
15654,1779,1
112400,1778,1
113591,1777,1
9435,1777,1
16549,1777,9
16097,1772,1
92307,1772,1
113611,1772,1
16471,1771,11
22548,1769,1
3521,1768,1
9580,1767,1
152362,1766,4
112337,1765,1
23960,1763,1
7833,1763,1
112386,1761,1
130367,1758,6
113139,1757,10
3198,1756,2
113125,1756,1
59630,1755,1
29656,1755,2
154377,1755,3
113404,1754,5
144863,1753,2
144975,1752,1
113423,1751,1
25184,1750,1
10078,1750,1
9222,1749,1
23652,1749,5
84404,1749,1
6091,1747,1
155650,1747,5
9741,1745,1
154626,1745,3
22486,1744,25
113157,1744,1
10167,1743,1
2701,1743,2
9962,1743,1
23309,1741,6
113778,1741,1
112481,1741,1
86170,1740,1
112526,1740,1
93152,1739,5
6333,1739,1
23917,1737,1
143401,1737,2
58301,1736,1
3143,1734,2
144616,1731,1
91459,1730,1
155395,1728,2
8069,1726,1
112408,1726,1
23499,1725,17
31808,1725,5
145773,1725,1
1363,1724,1
113769,1723,1
26059,1721,1
158546,1721,2
144369,1721,1
94434,1721,5
147344,1720,2
2518,1719,2
8952,1718,1
111739,1718,1
113140,1717,1
112945,1716,1
92555,1716,1
113069,1716,1
22480,1715,19
8018,1713,1
7246,1712,1
112423,1711,1
2177,1711,2
122782,1710,1
23921,1708,2
92422,1707,1
114123,1707,2
22800,1707,7
112947,1706,1
112932,1706,1
112430,1706,1
93062,1705,1
105233,1705,1
92410,1704,1
120073,1704,2
28282,1704,1
31172,1701,2
157628,1700,4
144588,1700,1
112057,1699,1
144681,1699,1
25768,1699,1
112517,1698,1
26070,1698,1
113486,1697,1
113615,1695,1
144367,1695,1
61455,1695,1
114179,1695,1
22231,1694,7
146063,1694,6
114097,1693,1
112869,1693,1
25862,1693,2
114099,1692,1
105905,1692,1
30691,1690,1
144943,1687,1
112992,1685,1
30569,1685,1
15730,1684,1
16066,1683,1
7465,1683,1
7526,1682,1
57998,1681,1
113014,1681,1
144791,1681,1
113219,1681,1
113220,1681,1
143927,1680,1
8753,1679,1
23824,1679,1
15525,1678,1
16185,1676,1
105040,1676,1
25223,1675,1
6150,1674,1
57938,1674,1
8012,1673,1
144843,1673,1
114102,1673,1
144383,1673,1
112080,1673,1
30392,1672,1
146663,1672,1
1977,1672,2
113330,1672,1
